Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
158,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
347,Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
444,Star Wars Episode I Racer,N64,1999,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12
616,Mario Party 2,N64,1999,Misc,Nintendo,1.28,0.14,1.08,0.01,2.5
1281,WWF WrestleMania 2000,N64,1999,Fighting,THQ,1.2,0.25,0.02,0.02,1.48
1290,Mario Golf,N64,1999,Action,Nintendo,0.62,0.18,0.65,0.02,1.47
1329,Namco Museum 64,N64,1999,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45
1752,Jet Force Gemini,N64,1999,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16
2237,Toy Story 2: Buzz Lightyear to the Rescue!,N64,1999,Platform,Activision,0.71,0.2,0,0.01,0.93
2260,Knockout Kings 2000,N64,1999,Fighting,Electronic Arts,0.63,0.27,0,0.02,0.92
2548,Army Men: Sarge's Heroes,N64,1999,Action,3DO,0.68,0.12,0,0.01,0.81
2611,WCW Mayhem,N64,1999,Fighting,Electronic Arts,0.63,0.15,0,0.01,0.79
2885,LEGO Racers,N64,1999,Racing,LEGO Media,0.51,0.18,0,0.01,0.71
2886,WWF Attitude,N64,1999,Fighting,Acclaim Entertainment,0.57,0.13,0,0.01,0.71
3158,Tom Clancy's Rainbow Six,N64,1999,Shooter,Red Storm Entertainment,0.48,0.15,0,0.01,0.64
3159,Castlevania,N64,1999,Platform,Konami Digital Entertainment,0.44,0.1,0.04,0.05,0.64
3160,Rayman 2: The Great Escape,N64,1999,Platform,Ubisoft,0.4,0.22,0,0.02,0.64
3261,Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,0.4,0.2,0,0.02,0.62
3328,Madden NFL 2000,N64,1999,Sports,Electronic Arts,0.58,0.02,0,0,0.61
3415,Ready 2 Rumble Boxing,N64,1999,Sports,Midway Games,0.47,0.11,0,0.01,0.59
3501,NFL Blitz 2000,N64,1999,Sports,Midway Games,0.55,0.02,0,0,0.58
3592,Resident Evil 2,N64,1999,Action,Virgin Interactive,0.39,0.09,0.07,0.01,0.56
3719,Gauntlet Legends,N64,1999,Action,Midway Games,0.43,0.1,0,0.01,0.54
3820,NASCAR 2000,N64,1999,Racing,Electronic Arts,0.49,0.03,0,0,0.53
3908,Rugrats: Scavenger Hunt,N64,1999,Misc,THQ,0.41,0.09,0,0.01,0.51
3910,International Superstar Soccer 2000 (All region sales),N64,1999,Sports,Konami Digital Entertainment,0.01,0.26,0.22,0.02,0.51
4117,Harvest Moon 64,N64,1999,Simulation,Pack In Soft,0.25,0.06,0.11,0.06,0.48
4416,NBA Live 2000,N64,1999,Sports,Electronic Arts,0.42,0.02,0,0,0.44
4626,Jikkyou Powerful Pro Yakyuu 6,N64,1999,Sports,Konami Digital Entertainment,0,0,0.39,0.03,0.42
4730,Ogre Battle 64: Person of Lordly Caliber,N64,1999,Role-Playing,Nintendo,0.1,0.02,0.25,0.04,0.41
4731,Superman: The New Superman Adventures,N64,1999,Action,Titus,0.33,0.07,0,0,0.41
4828,RR64: Ridge Racer 64,N64,1999,Racing,Nintendo,0.32,0.07,0,0,0.4
4830,NFL Quarterback Club 2000,N64,1999,Sports,Acclaim Entertainment,0.37,0.03,0,0,0.4
4932,All-Star Baseball 2000,N64,1999,Sports,Acclaim Entertainment,0.36,0.03,0,0,0.39
4935,BattleTanx: Global Assault,N64,1999,Action,3DO,0.31,0.07,0,0,0.39
5127,Turok: Rage Wars,N64,1999,Shooter,Acclaim Entertainment,0.3,0.06,0,0,0.37
5146,Bottom of the 9th,N64,1999,Sports,Konami Digital Entertainment,0.37,0,0,0,0.37
5757,Hot Wheels Turbo Racing,N64,1999,Racing,Electronic Arts,0.25,0.06,0,0,0.31
5759,Bass Hunter 64,N64,1999,Sports,Take-Two Interactive,0.25,0.06,0,0,0.31
5887,Monster Truck Madness 64,N64,1999,Racing,Take-Two Interactive,0.24,0.06,0,0,0.3
5888,Quake II,N64,1999,Shooter,Activision,0.24,0.06,0,0,0.3
6027,Xena: Warrior Princess - The Talisman of Fate,N64,1999,Fighting,Titus,0.23,0.06,0,0,0.29
6028,Jeremy McGrath Supercross 2000,N64,1999,Racing,Acclaim Entertainment,0.23,0.06,0,0,0.29
6029,The New Tetris,N64,1999,Puzzle,Nintendo,0.22,0.05,0.02,0,0.29
6030,Ken Griffey Jr.'s Slugfest,N64,1999,Sports,Nintendo,0.23,0.06,0,0,0.29
6031,Supercross 2000,N64,1999,Racing,Electronic Arts,0.23,0.06,0,0,0.29
6149,Triple Play 2000,N64,1999,Sports,Electronic Arts,0.27,0.01,0,0,0.28
6347,Shadow Man,N64,1999,Action,Acclaim Entertainment,0.18,0.08,0,0.01,0.27
6348,Command & Conquer,N64,1999,Strategy,Nintendo,0.22,0.05,0,0,0.27
6526,Duke Nukem: Zero Hour,N64,1999,Shooter,GT Interactive,0.21,0.05,0,0,0.26
6527,Armorines: Project S.W.A.R.M.,N64,1999,Shooter,Acclaim Entertainment,0.21,0.05,0,0,0.26
6686,Hybrid Heaven,N64,1999,Role-Playing,Konami Digital Entertainment,0.16,0.04,0.05,0,0.25
6687,NBA Showtime: NBA on NBC,N64,1999,Sports,Midway Games,0.23,0.02,0,0,0.25
6694,NBA Courtside 2 featuring Kobe Bryant,N64,1999,Sports,Nintendo,0.2,0.05,0,0,0.25
6869,Paperboy,N64,1999,Action,Midway Games,0.19,0.05,0,0,0.24
6870,South Park: Chef's Luv Shack,N64,1999,Misc,Acclaim Entertainment,0.19,0.05,0,0,0.24
6872,Road Rash 64,N64,1999,Racing,THQ,0.19,0.05,0,0,0.24
7228,Rampage 2: Universal Tour,N64,1999,Action,GT Interactive,0.18,0.04,0,0,0.22
7414,Monopoly,N64,1999,Misc,Hasbro Interactive,0.17,0.04,0,0,0.21
7417,Gex 3: Deep Cover Gecko,N64,1999,Platform,Crave Entertainment,0.17,0.04,0,0,0.21
7418,WinBack: Covert Operations,N64,1999,Shooter,Virgin Interactive,0.17,0.04,0,0,0.21
7618,Roadsters 99,N64,1999,Racing,Titus,0.06,0.13,0,0.01,0.2
7625,Super Robot Taisen 64,N64,1999,Strategy,Banpresto,0,0,0.2,0,0.2
7867,Sesame Street: Elmo's Number Journey,N64,1999,Misc,NewKidCo,0.15,0.04,0,0,0.19
8051,International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18
8100,Sesame Street: Elmo's Letter Adventure,N64,1999,Misc,NewKidCo,0.14,0.04,0,0,0.18
8101,Re-Volt,N64,1999,Racing,Acclaim Entertainment,0.14,0.04,0,0,0.18
8339,World Driver Championship,N64,1999,Racing,Midway Games,0.14,0.03,0,0,0.17
8340,Bomberman 64: The Second Attack!,N64,1999,Adventure,Hudson Soft,0.05,0.01,0.11,0,0.17
8584,Asteroids Hyper 64,N64,1999,Shooter,Crave Entertainment,0.13,0.03,0,0,0.16
8589,Space Invaders,N64,1999,Shooter,Activision,0.13,0.03,0,0,0.16
8591,Destruction Derby 64,N64,1999,Racing,THQ,0.13,0.03,0,0,0.16
8593,California Speed,N64,1999,Misc,Midway Games,0.13,0.03,0,0,0.16
9154,Micro Machines 64 Turbo,N64,1999,Racing,Codemasters,0.11,0.03,0,0,0.14
9155,Bassmasters 2000,N64,1999,Sports,THQ,0.11,0.03,0,0,0.14
9482,NBA Jam 2000,N64,1999,Sports,Acclaim Entertainment,0.12,0.01,0,0,0.13
9483,Castlevania: Legacy of Darkness,N64,1999,Platform,Konami Digital Entertainment,0.06,0.02,0.05,0,0.13
9819,Earthworm Jim 3D,N64,1999,Platform,Interplay,0.1,0.02,0,0,0.12
9820,Rocket: Robot on Wheels,N64,1999,Platform,Ubisoft,0.1,0.02,0,0,0.12
9821,Densha De Go! 64,N64,1999,Simulation,Taito,0,0,0.05,0.07,0.12
10218,Snowboard Kids 2,N64,1999,Sports,Atlus,0.09,0.02,0,0,0.11
10219,Tonic Trouble,N64,1999,Platform,Ubisoft,0.09,0.02,0,0,0.11
10220,Nuclear Strike 64,N64,1999,Simulation,THQ,0.09,0.02,0,0,0.11
10222,Top Gear Rally 2,N64,1999,Racing,Kemco,0.09,0.02,0,0,0.11
10225,Fighting Force 64,N64,1999,Action,Crave Entertainment,0.09,0.02,0,0,0.11
11986,Shadowgate 64: Trials of the Four Towers,N64,1999,Adventure,Kemco,0.06,0.01,0,0,0.07
12496,Neon Genesis Evangelion,N64,1999,Adventure,Namco Bandai Games,0,0,0.06,0,0.06
12506,Top Gear Hyper-Bike,N64,1999,Racing,Kemco,0.05,0.01,0,0,0.06
12507,Brunswick Circuit Pro Bowling,N64,1999,Sports,THQ,0.05,0.01,0,0,0.06
13085,NHL Blades of Steel '99,N64,1999,Sports,Konami Digital Entertainment,0.05,0,0,0,0.05
13114,All Star Tennis 99,N64,1999,Sports,Ubisoft,0.04,0.01,0,0,0.05
13117,Fighter Destiny 2,N64,1999,Fighting,Imagineer,0.04,0.01,0,0,0.05
13436,Choro Q 64 2: Hacha Mecha Grand Prix Race,N64,1999,Racing,Takara,0,0,0.05,0,0.05
13740,PD Ultraman Battle Collection 64,N64,1999,Strategy,Namco Bandai Games,0,0,0.04,0,0.04
13741,Monaco Grand Prix,N64,1999,Racing,Ubisoft,0.03,0.01,0,0,0.04
13742,Worms Armageddon,N64,1999,Strategy,Infogrames,0.03,0.01,0,0,0.04
13743,Rally Challenge 2000,N64,1999,Racing,Imagineer,0.03,0.01,0,0,0.04
14496,Charlie Blasts Territory,N64,1999,Action,Kemco,0.02,0.01,0,0,0.03
15375,Super Bowling,N64,1999,Sports,Athena,0.02,0,0,0,0.02
16586,Carmageddon 64,N64,1999,Action,Virgin Interactive,0.01,0,0,0,0.01
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
342,Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
555,Mario Party,N64,1998,Misc,Nintendo,1.25,0.53,0.87,0.05,2.7
661,WCW/nWo Revenge,N64,1998,Fighting,THQ,1.94,0.39,0.03,0.02,2.38
755,Star Wars: Rogue Squadron,N64,1998,Simulation,Nintendo,1.6,0.46,0.08,0.03,2.17
839,1080Â°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05,2.03
945,"Hey You, Pikachu!",N64,1998,Simulation,Nintendo,0.83,0.06,0.93,0,1.83
1154,F-1 World Grand Prix,N64,1998,Racing,Video System,0.46,0.96,0.09,0.08,1.6
1423,Pocket Monsters Stadium,N64,1998,Strategy,Nintendo,0,0,1.37,0,1.37
1474,WWF War Zone,N64,1998,Fighting,Acclaim Entertainment,1.08,0.24,0,0.02,1.33
1696,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19
1792,South Park,N64,1998,Shooter,Acclaim Entertainment,0.9,0.23,0,0.02,1.14
1862,F-Zero X,N64,1998,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1
1955,NFL Blitz,N64,1998,Sports,Midway Games,1.02,0.04,0,0.01,1.06
2114,NASCAR 99,N64,1998,Racing,Electronic Arts,0.94,0.04,0,0.01,0.98
2285,Glover,N64,1998,Platform,Hasbro Interactive,0.72,0.17,0,0.01,0.91
2313,Madden NFL 99,N64,1998,Sports,Electronic Arts,0.84,0.05,0,0.01,0.9
2620,Major League Baseball Featuring Ken Griffey Jr,N64,1998,Sports,Nintendo,0.75,0.03,0,0.01,0.79
2801,Mortal Kombat 4,N64,1998,Fighting,GT Interactive,0.55,0.17,0,0.01,0.73
3176,Cruis'n World,N64,1998,Racing,Nintendo,0.59,0.04,0,0.01,0.64
3205,A Bug's Life,N64,1998,Platform,Activision,0.49,0.13,0,0.01,0.63
3282,NFL Quarterback Club 99,N64,1998,Sports,Acclaim Entertainment,0.59,0.02,0,0,0.62
3468,World Cup 98,N64,1998,Sports,Electronic Arts,0.14,0.4,0,0.04,0.58
3469,International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,0.06,0.3,0.19,0.03,0.58
3720,FIFA 99,N64,1998,Sports,Electronic Arts,0.11,0.39,0,0.03,0.54
4116,All-Star Baseball 99,N64,1998,Sports,Acclaim Entertainment,0.44,0.04,0,0,0.48
4151,NBA Live 99,N64,1998,Sports,Electronic Arts,0.45,0.02,0,0,0.47
4188,Bomberman Hero,N64,1998,Platform,Nintendo,0.27,0.06,0.08,0.05,0.47
4190,Quest 64,N64,1998,Role-Playing,Konami Digital Entertainment,0.38,0.08,0,0.01,0.47
4366,Rampage World Tour,N64,1998,Action,GT Interactive,0.36,0.08,0,0.01,0.45
4533,WipEout 64,N64,1998,Racing,Midway Games,0.28,0.14,0,0.01,0.43
4623,Rush 2: Extreme Racing USA,N64,1998,Racing,Midway Games,0.35,0.06,0,0,0.42
4887,NHL 99,N64,1998,Sports,Electronic Arts,0.38,0.01,0,0,0.39
4934,Extreme-G: XG2,N64,1998,Racing,Acclaim Entertainment,0.31,0.07,0,0,0.39
5396,Off Road Challenge,N64,1998,Racing,GT Interactive,0.27,0.06,0,0,0.34
5511,BattleTanx,N64,1998,Action,3DO,0.26,0.06,0,0,0.33
5595,NHL Breakaway 98,N64,1998,Sports,Acclaim Entertainment,0.3,0.02,0,0,0.32
5756,Goemon's Great Adventure,N64,1998,Platform,Konami Digital Entertainment,0.06,0.02,0.13,0.1,0.31
5758,Vigilante 8,N64,1998,Racing,Activision,0.25,0.06,0,0,0.31
6025,Viz,N64,1998,Racing,Acclaim Entertainment,0.23,0.06,0,0,0.29
6026,Top Gear Overdrive,N64,1998,Racing,Kemco,0.23,0.06,0,0,0.29
6345,Jikkyou Powerful Pro Yakyuu 5,N64,1998,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
6346,NBA Jam 99,N64,1998,Sports,Acclaim Entertainment,0.25,0.02,0,0,0.27
6688,Fox Sports College Hoops '99,N64,1998,Sports,Fox Interactive,0.2,0.05,0,0,0.25
6692,Gex 64: Enter the Gecko,N64,1998,Action,GT Interactive,0.2,0.05,0,0,0.25
7415,WCW Nitro,N64,1998,Fighting,THQ,0.17,0.04,0,0,0.21
7620,Twisted Edge Extreme Snowboarding,N64,1998,Sports,Kemco,0.16,0.04,0,0,0.2
7623,Body Harvest,N64,1998,Shooter,Gremlin Interactive Ltd,0.16,0.04,0,0,0.2
7866,Quake,N64,1998,Shooter,GT Interactive,0.15,0.04,0,0,0.19
8583,Fighters Destiny,N64,1998,Fighting,Ocean,0.13,0.03,0,0,0.16
8592,Buck Bumble,N64,1998,Action,Ubisoft,0.13,0.03,0,0,0.16
9157,Bio FREAKS,N64,1998,Action,GT Interactive,0.11,0.03,0,0,0.14
10632,Jeopardy!,N64,1998,Misc,GameTek,0.08,0.02,0,0,0.1
10636,Virtual Pool 64,N64,1998,Sports,Crave Entertainment,0.08,0.02,0,0,0.1
10640,Lode Runner 3-D,N64,1998,Action,Infogrames,0.08,0.02,0,0,0.1
10642,GT64 Championship Edition,N64,1998,Racing,Ocean,0.08,0.02,0,0,0.1
10643,Milo's Astro Lanes,N64,1998,Sports,Interplay,0.08,0.02,0,0,0.1
11047,V-Rally Edition 99,N64,1998,Racing,Infogrames,0.07,0.02,0,0,0.09
11050,Golden Nugget 64,N64,1998,Misc,Electronic Arts,0.07,0.02,0,0,0.09
11051,Robotron 64,N64,1998,Shooter,GT Interactive,0.07,0.02,0,0,0.09
11478,Knife Edge: NoseGunner,N64,1998,Shooter,Mitsui,0.06,0.02,0,0,0.08
11480,Wetrix,N64,1998,Puzzle,Ocean,0.06,0.02,0,0,0.08
11481,NHL Breakaway 99,N64,1998,Sports,Acclaim Entertainment,0.07,0.01,0,0,0.08
11483,Iggy's Reckin' Balls,N64,1998,Racing,Acclaim Entertainment,0.06,0.02,0,0,0.08
11988,Super Robot Spirits,N64,1998,Fighting,Banpresto,0,0,0.04,0.03,0.07
12508,Olympic Hockey 98,N64,1998,Sports,GT Interactive,0.05,0.01,0,0,0.06
12510,Penny Racers,N64,1998,Racing,THQ,0.05,0.01,0,0,0.06
12511,S.C.A.R.S,N64,1998,Racing,Ubisoft,0.05,0.01,0,0,0.06
12512,Virtual Chess 64,N64,1998,Misc,Titus,0.05,0.01,0,0,0.06
12514,Mike Piazza's Strike Zone,N64,1998,Sports,GT Interactive,0.05,0.01,0,0,0.06
12515,Bust-A-Move '99,N64,1998,Puzzle,Acclaim Entertainment,0.05,0.01,0,0,0.06
12516,Star Soldier: Vanishing Earth,N64,1998,Shooter,Hudson Entertainment,0.05,0.01,0,0,0.06
13118,Chameleon Twist 2,N64,1998,Platform,Infogrames,0.04,0.01,0,0,0.05
13712,NBA In The Zone '99,N64,1998,Sports,Konami Digital Entertainment,0.04,0,0,0,0.04
13746,Deadly Arts,N64,1998,Fighting,Konami Digital Entertainment,0.03,0.01,0,0,0.04
14495,Starshot: Space Circus Fever,N64,1998,Platform,Infogrames,0.02,0.01,0,0,0.03
14497,Big Mountain 2000,N64,1998,Sports,Imagineer,0.02,0.01,0,0,0.03
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
214,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88
297,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
511,Yoshi's Story,N64,1997,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85
929,Turok 2: Seeds of Evil,N64,1997,Platform,Acclaim Entertainment,1.37,0.41,0.04,0.04,1.86
1066,WCW vs. nWo: World Tour,N64,1997,Fighting,THQ,1.37,0.28,0.03,0.02,1.69
1730,Mission: Impossible,N64,1997,Action,Ocean,0.74,0.38,0.02,0.03,1.17
1956,NFL Quarterback Club 98,N64,1997,Sports,Acclaim Entertainment,1.01,0.05,0,0.01,1.06
2003,Bomberman 64,N64,1997,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04
2421,Madden Football 64,N64,1997,Sports,Electronic Arts,0.81,0.04,0,0.01,0.86
2744,San Francisco Rush: Extreme Racing,N64,1997,Racing,GT Interactive,0.63,0.11,0,0.01,0.75
2887,Blast Corps,N64,1997,Action,Nintendo,0.39,0.09,0.17,0.06,0.71
3363,International Superstar Soccer 64,N64,1997,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6
3414,Extreme-G,N64,1997,Racing,Acclaim Entertainment,0.47,0.11,0,0.01,0.59
3467,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,0.15,0.39,0,0.03,0.58
3535,NBA Hangtime,N64,1997,Sports,GT Interactive,0.48,0.08,0,0,0.57
4047,FIFA Soccer 64,N64,1997,Sports,Electronic Arts,0.16,0.3,0,0.03,0.49
4189,Automobili Lamborghini,N64,1997,Racing,Titus,0.28,0.17,0,0.01,0.47
4192,Doom 64,N64,1997,Shooter,Midway Games,0.38,0.08,0,0.01,0.47
4454,Duke Nukem 64,N64,1997,Shooter,GT Interactive,0.35,0.08,0,0.01,0.44
4534,Mischief Makers,N64,1997,Platform,Nintendo,0.25,0.06,0.07,0.06,0.43
4829,Top Gear Rally,N64,1997,Racing,Kemco,0.32,0.07,0,0,0.4
4831,Mortal Kombat Mythologies: Sub-Zero,N64,1997,Fighting,Midway Games,0.32,0.07,0,0,0.4
5207,Mystical Ninja starring Goemon,N64,1997,Action,Konami Digital Entertainment,0.07,0.02,0.23,0.04,0.36
5208,Tetrisphere,N64,1997,Puzzle,Nintendo,0.29,0.06,0,0,0.36
5632,Nagano Winter Olympics 98,N64,1997,Sports,Konami Digital Entertainment,0.15,0.04,0.13,0,0.32
5755,Jikkyou Powerful Pro Yakyuu 4,N64,1997,Sports,Konami Digital Entertainment,0,0,0.26,0.05,0.31
6032,War Gods,N64,1997,Fighting,Midway Games,0.23,0.06,0,0,0.29
6344,NBA In The Zone '98,N64,1997,Sports,Konami Digital Entertainment,0.25,0.02,0,0,0.27
6689,Wheel of Fortune,N64,1997,Misc,Take-Two Interactive,0.2,0.05,0,0,0.25
6690,MRC: Multi-Racing Championship,N64,1997,Racing,Ocean,0.2,0.05,0,0,0.25
6691,F1 Pole Position 64,N64,1997,Racing,Ubisoft,0.11,0.13,0,0.01,0.25
6693,Wayne Gretzky's 3D Hockey '98,N64,1997,Sports,Midway Games,0.23,0.02,0,0,0.25
7148,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,Namco Bandai Games,0,0,0.22,0,0.22
7413,ClayFighter 63 1/3,N64,1997,Fighting,Interplay,0.17,0.04,0,0,0.21
7619,Magical Tetris Challenge,N64,1997,Puzzle,Activision,0.13,0.02,0.05,0,0.2
7862,Mace: The Dark Age,N64,1997,Fighting,GT Interactive,0.15,0.04,0,0,0.19
7863,AeroFighters Assault,N64,1997,Action,Video System,0.15,0.04,0,0,0.19
7864,Puyo Puyo Sun 64,N64,1997,Puzzle,Compile,0,0,0.16,0.03,0.19
8865,Space Station Silicon Valley,N64,1997,Adventure,Take-Two Interactive,0.12,0.03,0,0,0.15
8866,Dark Rift,N64,1997,Fighting,Vic Tokai,0.12,0.03,0,0,0.15
10221,Chameleon Twist,N64,1997,Platform,Sunsoft,0.09,0.02,0,0,0.11
10223,Chopper Attack,N64,1997,Action,GT Interactive,0.09,0.02,0,0,0.11
10638,Flying Dragon,N64,1997,Fighting,Natsume,0.08,0.02,0,0,0.1
10639,International Superstar Soccer 64 (weekly JP sales),N64,1997,Sports,Konami Digital Entertainment,0,0,0.05,0.05,0.1
11477,Bust-A-Move 2 Arcade Edition,N64,1997,Puzzle,Acclaim Entertainment,0.06,0.02,0,0,0.08
11983,Aero Gauge,N64,1997,Racing,ASCII Entertainment,0.06,0.01,0,0,0.07
13116,Dual Heroes,N64,1997,Fighting,Hudson Soft,0.04,0.01,0,0,0.05
13365,Turok: Dinosaur Hunter,N64,1997,Shooter,Acclaim Entertainment,0,0,0.05,0,0.05
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
485,Wave Race 64,N64,1996,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94
575,Star Wars: Shadows of the Empire,N64,1996,Action,Nintendo,2,0.5,0.12,0.03,2.65
1022,Cruis'n USA,N64,1996,Racing,Nintendo,1.69,0.04,0,0.01,1.74
1821,Pilotwings 64,N64,1996,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12
2159,Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,0.72,0.22,0,0.02,0.96
2516,Killer Instinct Gold,N64,1996,Fighting,Nintendo,0.61,0.19,0,0.01,0.82
3821,Wayne Gretzky's 3D Hockey,N64,1996,Sports,Nintendo,0.49,0.03,0,0,0.53
6524,Nightmare Creatures,N64,1996,Action,Activision,0.21,0.05,0,0,0.26
7227,Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996,Sports,Imagineer,0,0,0.22,0,0.22
7626,Snowboard Kids,N64,1996,Sports,Atlus,0.16,0.04,0,0,0.2
7792,Jikkyou J-League Perfect Striker,N64,1996,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19
7861,Hexen,N64,1996,Shooter,GT Interactive,0.15,0.04,0,0,0.19
7865,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996,Sports,Imagineer,0,0,0.19,0,0.19
8594,Wonder Project J2: Koruro no Mori no Josette,N64,1996,Simulation,Enix Corporation,0,0,0.12,0.04,0.16
11048,Saikyou Habu Shogi,N64,1996,Misc,Seta Corporation,0,0,0.06,0.03,0.09
11204,Mahjong Master,N64,1996,Misc,Konami Digital Entertainment,0,0,0.09,0,0.09
12086,Samurai Shodown,NG,1993,Fighting,SNK,0,0,0.07,0,0.07
880,Who wants to be a millionaire,PC,1999,Misc,Disney Interactive Studios,1.94,0,0,0,1.94
